"tourney_name";"year";"winner_name";"loser_name";"score"
"El Kantaoui $10K";2015;"Daria Lodikova";"Anastasiya Saitova";"3-6 6-1 Played and abandoned"
"El Kantaoui $10K";2015;"Inger Van Dijkman";"Valeria Bhunu";"6-2 3-0 Played and abandoned"
